,ANIO,MES,DIA,TMAX
5379,1970,12,27,34.8
5380,1970,12,28,24.3
5381,1970,12,29,28.3
5382,1970,12,30,27.5
5383,1970,12,31,23.2
5718,1971,12,1,36.7
5719,1971,12,2,37.5
5720,1971,12,3,27.2
5721,1971,12,4,22.9
5722,1971,12,5,26.7
5723,1971,12,6,31.6
5724,1971,12,7,32.7
5725,1971,12,8,36.5
5726,1971,12,9,33.0
5727,1971,12,10,37.4
5728,1971,12,11,32.5
5729,1971,12,12,36.2
5730,1971,12,13,32.6
5731,1971,12,14,29.1
5732,1971,12,15,37.8
5733,1971,12,16,40.2
5734,1971,12,17,40.3
5735,1971,12,18,40.9
5736,1971,12,19,29.4
5737,1971,12,20,36.1
5738,1971,12,21,25.6
5739,1971,12,22,27.8
5740,1971,12,23,32.9
5741,1971,12,24,35.9
5742,1971,12,25,37.5
5743,1971,12,26,38.9
5744,1971,12,27,40.6
5745,1971,12,28,41.6
5746,1971,12,29,42.6
5747,1971,12,30,39.3
5748,1971,12,31,35.2
6084,1972,12,1,26.2
6085,1972,12,2,28.1
6086,1972,12,3,27.5
6087,1972,12,4,28.0
6088,1972,12,5,26.9
6089,1972,12,6,27.0
6090,1972,12,7,28.3
6091,1972,12,8,25.1
6092,1972,12,9,28.5
6093,1972,12,10,26.9
6094,1972,12,11,29.7
6095,1972,12,12,30.8
6096,1972,12,13,29.9
6097,1972,12,14,32.4
6098,1972,12,15,33.9
6099,1972,12,16,28.3
6100,1972,12,17,32.3
6101,1972,12,18,35.0
6102,1972,12,19,32.6
6103,1972,12,20,33.2
6104,1972,12,21,32.5
6105,1972,12,22,35.0
6106,1972,12,23,30.2
6107,1972,12,24,25.9
6108,1972,12,25,28.9
6109,1972,12,26,32.2
6110,1972,12,27,34.6
6111,1972,12,28,30.6
6112,1972,12,29,28.9
6113,1972,12,30,33.6
6114,1972,12,31,28.2
6449,1973,12,1,26.6
6450,1973,12,2,27.5
6451,1973,12,3,28.0
6452,1973,12,4,26.7
6453,1973,12,5,27.5
6454,1973,12,6,25.7
6455,1973,12,7,23.2
6456,1973,12,8,27.5
6457,1973,12,9,30.7
6458,1973,12,10,32.5
6459,1973,12,11,28.4
6460,1973,12,12,33.5
6461,1973,12,13,28.7
6462,1973,12,14,23.2
6463,1973,12,15,29.2
6464,1973,12,16,29.4
6465,1973,12,17,31.2
6466,1973,12,18,29.1
6467,1973,12,19,34.5
6468,1973,12,20,34.3
6469,1973,12,21,28.7
6470,1973,12,22,29.7
6471,1973,12,23,31.8
6472,1973,12,24,28.6
6473,1973,12,25,26.5
6474,1973,12,26,27.5
6475,1973,12,27,29.8
6476,1973,12,28,28.3
6477,1973,12,29,31.9
6478,1973,12,30,34.5
6479,1973,12,31,35.6
6814,1974,12,1,25.6
6815,1974,12,2,28.3
6816,1974,12,3,29.7
6817,1974,12,4,31.9
6818,1974,12,5,33.2
6819,1974,12,6,35.0
6820,1974,12,7,34.5
6821,1974,12,8,27.0
6822,1974,12,9,21.6
6823,1974,12,10,15.7
6824,1974,12,11,17.4
6825,1974,12,12,25.2
6826,1974,12,13,27.8
6827,1974,12,14,28.8
6828,1974,12,15,31.8
6829,1974,12,16,26.4
6830,1974,12,17,19.8
6831,1974,12,18,22.8
6832,1974,12,19,27.7
6833,1974,12,20,26.7
6834,1974,12,21,30.9
6835,1974,12,22,32.5
6836,1974,12,23,32.9
6837,1974,12,24,28.2
6838,1974,12,25,31.0
6839,1974,12,26,33.5
6840,1974,12,27,29.5
6841,1974,12,28,25.5
6842,1974,12,29,28.7
6843,1974,12,30,29.7
6844,1974,12,31,24.2
7179,1975,12,1,31.5
7180,1975,12,2,32.1
7181,1975,12,3,33.0
7182,1975,12,4,36.0
7183,1975,12,5,31.8
7184,1975,12,6,27.5
7185,1975,12,7,34.7
7186,1975,12,8,29.2
7187,1975,12,9,31.7
7188,1975,12,10,36.4
7189,1975,12,11,35.2
7190,1975,12,12,38.3
7191,1975,12,13,28.7
